act_dem_electors,act_rep_electors,dem_pct,dem_vote,electors,prop_dem_electors,prop_rep_electors,rating,rep_pct,rep_vote,state,total_vote,year
10,0,53.46342998287241,1620985.0,10,5,5,Lean-D,46.53657001712759,1410966.0,WI,3031951.0,2012
0,3,28.839365988478573,69286.0,3,1,2,Solid-R,71.16063401152142,170962.0,WY,240248.0,2012
0,9,35.62585640603926,729547.0,9,3,6,Solid-R,64.37414359396074,1318255.0,AL,2047802.0,2016
0,3,41.61434528893193,116454.0,3,1,2,Lean-R,58.38565471106807,163387.0,AK,279841.0,2016
0,11,48.10997659896054,1161167.0,11,5,6,Toss-Up,51.89002340103946,1252401.0,AZ,2413568.0,2016
0,6,35.714862310229535,380494.0,6,2,4,Solid-R,64.28513768977047,684872.0,AR,1065366.0,2016
55,0,66.12822054272989,8753788.0,55,36,19,Solid-D,33.871779457270115,4483810.0,CA,13237598.0,2016
9,0,52.68333337268244,1338870.0,9,5,4,Likely-D,47.31666662731757,1202484.0,CO,2541354.0,2016
7,0,57.14154751726363,897572.0,7,4,3,Solid-D,42.85845248273636,673215.0,CT,1570787.0,2016
3,0,55.998621443681216,235603.0,3,2,1,Solid-D,44.001378556318784,185127.0,DE,420730.0,2016
3,0,95.69518834185409,282830.0,3,3,0,Solid-D,4.304811658145916,12723.0,DC,295553.0,2016
0,29,49.38116452722452,4504975.0,29,14,15,Toss-Up,50.61883547277548,4617886.0,FL,9122861.0,2016
0,16,47.338827400696786,1877963.0,16,8,8,Toss-Up,52.66117259930322,2089104.0,GA,3967067.0,2016
4,0,67.44133745053546,266891.0,4,3,1,Solid-D,32.55866254946454,128847.0,HI,395738.0,2016
0,4,31.689823319194417,189765.0,4,1,3,Solid-R,68.31017668080558,409055.0,ID,598820.0,2016
20,0,59.02005139071148,3090729.0,20,12,8,Solid-D,40.97994860928852,2146015.0,IL,5236744.0,2016
0,11,39.88269047549193,1033126.0,11,4,7,Likely-R,60.117309524508066,1557286.0,IN,2590412.0,2016
0,6,44.93645215487965,653669.0,6,3,3,Toss-Up,55.06354784512034,800983.0,IA,1454652.0,2016
0,6,38.888529657393335,427005.0,6,2,4,Likely-R,61.111470342606665,671018.0,KS,1098023.0,2016
0,8,34.32937098249014,628854.0,8,3,5,Solid-R,65.67062901750987,1202971.0,KY,1831825.0,2016
0,8,39.82832276219221,780154.0,8,3,5,Solid-R,60.1716772378078,1178638.0,LA,1958792.0,2016
3,1,51.59679112916253,357735.0,4,2,2,Likely-D,48.40320887083747,335593.0,ME,693328.0,2016
10,0,64.01624968476939,1677928.0,10,6,4,Solid-D,35.98375031523061,943169.0,MD,2621097.0,2016
11,0,64.65127868962949,1995196.0,11,7,4,Solid-D,35.34872131037051,1090893.0,MA,3086089.0,2016
0,16,49.88233178303845,2268839.0,16,8,8,Lean-D,50.117668216961555,2279543.0,MI,4548382.0,2016
10,0,50.83169370718048,1367705.0,10,5,5,Lean-D,49.168306292819516,1322949.0,MN,2690654.0,2016
0,6,40.91015267593994,485131.0,6,2,4,Solid-R,59.08984732406006,700714.0,MS,1185845.0,2016
0,10,40.18143900443393,1071068.0,10,4,6,Likely-R,59.81856099556606,1594511.0,MO,2665579.0,2016
0,3,38.89033568297556,177709.0,3,1,2,Likely-R,61.10966431702444,279240.0,MT,456949.0,2016
1,4,36.45232588682243,284494.0,5,2,3,Solid-R,63.547674113177564,495961.0,NE,780455.0,2016
6,0,51.2937094199852,539260.0,6,3,3,Lean-D,48.7062905800148,512058.0,NV,1051318.0,2016
4,0,50.1970284423807,348526.0,4,2,2,Lean-D,49.802971557619294,345790.0,NH,694316.0,2016
14,0,57.284190142901295,2148278.0,14,8,6,Solid-D,42.715809857098705,1601933.0,NJ,3750211.0,2016
5,0,54.65079493432411,385234.0,5,3,2,Likely-D,45.34920506567589,319667.0,NM,704901.0,2016
29,0,63.41150649977537,4379789.0,29,18,11,Solid-D,36.58849350022463,2527142.0,NY,6906931.0,2016
0,15,48.096254196281286,2189316.0,15,7,8,Toss-Up,51.903745803718714,2362631.0,NC,4551947.0,2016
0,3,30.190757103480255,93758.0,3,1,2,Solid-R,69.80924289651973,216794.0,ND,310552.0,2016
0,18,45.7323154228641,2394164.0,18,8,10,Toss-Up,54.26768457713591,2841005.0,OH,5235169.0,2016
0,7,30.695262761671867,420375.0,7,2,5,Solid-R,69.30473723832813,949136.0,OK,1369511.0,2016
7,0,56.155838945054356,1002106.0,7,4,3,Likely-D,43.844161054945644,782403.0,OR,1784509.0,2016
0,20,49.62446419250984,2926441.0,20,10,10,Lean-D,50.37553580749017,2970733.0,PA,5897174.0,2016
4,0,58.31070409265982,252525.0,4,2,2,Solid-D,41.68929590734018,180543.0,RI,433068.0,2016
0,9,42.53974363947598,855373.0,9,4,5,Solid-R,57.46025636052402,1155389.0,SC,2010762.0,2016
0,3,34.02814192056875,117458.0,3,1,2,Solid-R,65.97185807943126,227721.0,SD,345179.0,2016
0,11,36.37565695473801,870695.0,11,4,7,Solid-R,63.62434304526199,1522925.0,TN,2393620.0,2016
0,38,45.28677442202802,3877868.0,38,17,21,Lean-R,54.71322557797199,4685047.0,TX,8562915.0,2016
0,6,37.617101654588716,310674.0,6,2,4,Likely-R,62.382898345411284,515211.0,UT,825885.0,2016
3,0,65.18642632382037,178573.0,3,2,1,Solid-D,34.81357367617963,95369.0,VT,273942.0,2016
13,0,52.826376277154694,1981473.0,13,7,6,Likely-D,47.1736237228453,1769443.0,VA,3750916.0,2016
12,0,58.786931200064764,1742718.0,12,7,5,Solid-D,41.21306879993523,1221747.0,WA,2964465.0,2016
0,5,27.838947748704225,188794.0,5,1,4,Solid-R,72.16105225129577,489371.0,WV,678165.0,2016
0,10,49.59201096197028,1382536.0,10,5,5,Lean-D,50.40798903802971,1405284.0,WI,2787820.0,2016
0,3,24.294680370846212,55973.0,3,1,2,Solid-R,75.70531962915379,174419.0,WY,230392.0,2016
0,9,37.08862516664528,849624.0,9,3,6,Solid-R,62.91137483335473,1441170.0,AL,2290794.0,2020
0,3,44.73815127615069,153778.0,3,1,2,Lean-R,55.26184872384932,189951.0,AK,343729.0,2020
11,0,50.15683167912931,1672143.0,11,6,5,Toss-Up,49.84316832087068,1661686.0,AZ,3333829.0,2020
0,6,35.78756672201685,423932.0,6,2,4,Solid-R,64.21243327798315,760647.0,AR,1184579.0,2020
55,0,64.9096897735854,11109764.0,55,36,19,Solid-D,35.0903102264146,6005961.0,CA,17115725.0,2020
9,0,56.93831949230015,1804352.0,9,5,4,Likely-D,43.06168050769985,1364607.0,CO,3168959.0,2020
7,0,60.17246380927086,1080680.0,7,4,3,Solid-D,39.82753619072914,715291.0,CT,1795971.0,2020
3,0,59.626744164984466,296268.0,3,2,1,Solid-D,40.37325583501553,200603.0,DE,496871.0,2020
3,0,94.46695384761944,317323.0,3,3,0,Solid-D,5.533046152380555,18586.0,DC,335909.0,2020
0,29,48.305245337858445,5297045.0,29,14,15,Toss-Up,51.69475466214156,5668731.0,FL,10965776.0,2020
16,0,50.11932966290864,2473633.0,16,8,8,Toss-Up,49.88067033709135,2461854.0,GA,4935487.0,2020
4,0,65.03266464651489,366130.0,4,3,1,Solid-D,34.96733535348512,196864.0,HI,562994.0,2020
0,4,34.123275147742575,287031.0,4,1,3,Solid-R,65.87672485225741,554128.0,ID,841159.0,2020
20,0,58.65904373280693,3471915.0,20,12,8,Solid-D,41.34095626719308,2446891.0,IL,5918806.0,2020
0,11,41.80493544765033,1242413.0,11,5,6,Likely-R,58.19506455234967,1729516.0,IN,2971929.0,2020
0,6,45.81673691536295,759061.0,6,3,3,Toss-Up,54.183263084637055,897672.0,IA,1656733.0,2020
0,6,42.50657174436865,570323.0,6,3,3,Likely-R,57.49342825563135,771406.0,KS,1341729.0,2020
0,8,36.79989709973703,772474.0,8,3,5,Solid-R,63.20010290026297,1326646.0,KY,2099120.0,2020
0,8,40.53555954370895,856034.0,8,3,5,Solid-R,59.464440456291044,1255776.0,LA,2111810.0,2020
